ID	MumID	Sex	LambAgeAugust	BirthYearF	RunDate	Plate	Age	AgeF	CapYearF	CapYear	LambAdult	IgAmp	IgEmp	IgGmp
7005	7025	M	NA	2008	42384	41	0	0	2008	2008	Lambs	0.667850652	0.005107875	0.251973473
7006	7026	F	NA	2008	42384	41	0	0	2008	2008	Lambs	0.99352243	0.068676731	0.160621453
7006	7026	F	NA	2008	42390	45	1	1	2009	2009	Adults	2.469199497	0.350647685	1.003274771
7006	7026	F	NA	2008	42327	23	7	7	2015	2015	Adults	2.505610321	0.357397169	0.921310739
7007	7027	M	NA	2008	42384	41	0	0	2008	2008	Lambs	1.773942934	0.039948159	0.529335937
7008	7023	F	NA	2008	42384	41	0	0	2008	2008	Lambs	1.73400842	0.04566593	0.35434181
7008	7023	F	NA	2008	42306	13	5	5	2013	2013	Adults	2.441428154	0.738478816	0.511692631
7009	5120	F	NA	2008	42384	41	0	0	2008	2008	Lambs	0.005202928	0.015933521	0.273347462
7009	5120	F	NA	2008	42376	33	2	2	2010	2010	Adults	0.763672104	0.131233553	0.386858866
7010	7028	M	NA	2008	42384	41	0	0	2008	2008	Lambs	0.544167413	0.088763164	0.297707802
7012	7019	F	NA	2008	42384	41	0	0	2008	2008	Lambs	0.541806705	0.023458162	0.143998184
7013	7032	M	NA	2008	42384	41	0	0	2008	2008	Lambs	1.374449182	0.096356676	0.362753673
7014	7031	M	NA	2008	42384	41	0	0	2008	2008	Lambs	0.487250017	0.041132715	0.255014124
7015	7033	M	NA	2008	42384	41	0	0	2008	2008	Lambs	1.493188693	0.043447018	0.095773388
7016	7034	F	NA	2008	42383	40	0	0	2008	2008	Lambs	1.329854628	0.290802591	0.452527824
7016	7034	F	NA	2008	42376	34	2	2	2010	2010	Adults	1.951160718	0.539302158	0.766974315
7016	7034	F	NA	2008	42311	2	6	6	2014	2014	Adults	1.089979318	0.882308025	0.764914141
7017	7036	M	NA	2008	42383	40	0	0	2008	2008	Lambs	0.361849531	0.030033432	0.230962864
7018	6093	M	NA	2008	42383	40	0	0	2008	2008	Lambs	0.031011576	0.015121529	0.139751725
7019	7023	F	NA	2007	42383	39	1	1	2008	2008	Adults	0.753464058	0.229244849	0.740512261
7020	7026	M	NA	2007	42383	39	1	1	2008	2008	Adults	1.425728488	0.403149374	0.433570919
7021	7031	M	NA	2007	42383	39	1	1	2008	2008	Adults	0.77465941	0.35500321	0.328148412
7022	7032	F	NA	2007	42383	39	1	1	2008	2008	Adults	1.057942225	0.172327201	0.51041197
7023	NA	F	NA	NA	42377	36	NA	NA	2008	2008	NA	2.616161909	0.523068411	0.427646275
