ID	MOTHER	FATHER
10567	6923	7205
10568	6923	9788
10569	8894	7685
10570	6637	7205
10571	7179	8648
1143	NA	NA
10572	6313	8648
10573	7112	8720
10574	6921	7205
10575	6916	7003
10576	6916	9700
10577	9744	8926
10578	9695	9640
10579	6648	NA
10580	6814	NA
10581	7285	8452
1144	NA	NA
10582	NA	NA
10583	6319	10069
10584	9719	10376
10585	9767	8720
10586	10094	10379
10587	9749	6574
10588	9765	9697
10589	NA	NA
10590	9706	10067
10591	6541	8913
1145	NA	NA
10592	6541	6574
10593	8732	8648
10594	9755	8747
10595	9717	NA
10596	10247	8720
10597	NA	NA
10598	10639	8452
10599	9686	10063
10600	9686	NA
10601	9765	NA
1146	NA	NA
10602	6891	NA
10603	7067	8933
10604	7006	NA
10605	NA	8743
10606	9817	8933
10607	9771	10376
10608	8970	8648
10609	10260	NA
10610	NA	NA
10611	9756	10037
184	NA	NA
1147	NA	NA
10612	9151	10063
10613	NA	8452
10614	10261	10065
10615	10218	9044
10616	10105	8452
10617	7112	10644
10618	7402	8918
10619	6640	7205
10620	6640	8720
10621	7176	NA
1148	NA	NA
10622	7639	NA
10623	8957	8648
10624	10361	NA
10625	9099	9060
10626	9009	NA
1149	NA	NA
1150	NA	NA
1151	NA	NA
1152	NA	NA
1153	NA	NA
1154	649	NA
1155	103	NA
1156	NA	NA
185	NA	NA
1157	NA	NA
1158	NA	NA
1159	NA	NA
1160	NA	NA
1161	NA	NA
1162	NA	NA
1163	NA	NA
1164	NA	NA
1165	NA	NA
1166	503	NA
186	NA	NA
1167	NA	NA
1168	NA	NA
1169	NA	NA
1170	NA	NA
1171	979	NA
1172	NA	NA
1173	NA	NA
1174	NA	NA
1175	501	NA
1176	NA	NA
93	NA	NA
187	NA	NA
1177	NA	NA
1178	NA	NA
1179	94	NA
1180	NA	NA
1181	NA	NA
1182	NA	NA
1183	NA	NA
10627	7143	7205
10628	10635	10038
10629	NA	10644
10630	6881	7205
1184	NA	NA
10631	7512	6574
10632	6996	8946
10633	8745	7205
10634	10947	8250
10635	6930	8428
10636	7639	6679
10637	10362	6903
10638	7176	7205
1185	NA	NA
10639	10362	NA
10640	NA	10072
10641	8994	7651
10642	NA	7298
10643	NA	10044
10644	NA	8809
10645	10361	7651
10646	NA	10040
10647	NA	10379
10648	NA	8250
1186	NA	NA
10649	NA	NA
10650	NA	6535
10651	NA	10239
10652	NA	NA
10653	NA	NA
10654	NA	10065
10655	NA	10065
10656	NA	NA
10657	NA	NA
10658	NA	10069
188	NA	NA
1187	NA	NA
10659	NA	NA
10660	NA	NA
10661	NA	NA
10662	NA	NA
10663	NA	NA
10664	NA	NA
10665	NA	NA
10666	NA	7685
10667	NA	8743
10668	NA	NA
1188	NA	NA
10669	NA	NA
10670	NA	NA
10671	NA	NA
10672	7177	9073
10673	7211	8997
10674	9681	10378
10675	9009	9700
10676	10361	10037
10677	9765	9640
10678	9181	8933
1189	NA	NA
10679	8736	10040
10680	NA	NA
10681	10680	NA
10682	7008	8918
10683	9027	NA
10684	7190	9640
10685	6602	NA
10686	6602	NA
10687	8738	NA
10688	8659	NA
1190	NA	NA
10689	8672	8648
10690	8652	9044
10691	9169	8673
10692	9182	8250
10693	8725	NA
10694	7647	10661
10695	7507	9640
10696	8668	8673
10697	7406	8648
10698	10094	8933
1191	NA	NA
10699	10032	9761
10700	6781	8997
10701	6781	8720
10702	8697	8720
10703	8656	10172
10704	8656	10657
10705	8667	10046
10706	9173	8647
10707	9719	NA
10708	9755	10509
1192	NA	NA
10709	9715	9662
10710	10199	9653
10711	7645	9171
10712	6846	9640
10713	8669	8673
10714	9099	8997
10715	8749	9640
10716	8749	9640
10717	8689	10378
10718	7154	NA
1193	NA	NA
10719	7082	10663
10720	9178	8743
10721	8663	NA
10722	9148	10644
10723	6891	NA
10724	9691	10062
10725	6675	9640
10726	6675	9640
10727	6791	9731
10728	7092	9174
1194	NA	NA
10729	9792	9174
10730	9150	7493
10731	7106	10663
10732	6313	NA
10733	7179	8648
10734	7179	8648
10735	9749	8673
10736	7134	10499
10737	6805	8997
10738	10260	8648
1195	NA	NA
10739	8700	10043
10740	7058	8918
10741	7016	9640
10742	6892	8933
10743	8187	10040
10744	8187	9640
10745	9141	9080
10746	8687	9174
10747	9142	10038
10748	7206	7685
1196	NA	NA
10749	8678	8946
10750	8258	10642
10751	6881	8720
10752	7143	10537
10753	9020	8720
10754	8653	10644
10755	6733	8997
10756	7080	9640
10757	9053	NA
10758	9053	6911
189	NA	NA
1197	NA	NA
10759	6897	7493
10760	9145	9174
10761	6643	10669
10762	9739	10644
10763	8723	8918
10764	8694	9174
10765	8902	8673
10766	6820	8974
10767	7423	9731
10768	7423	8946
1198	NA	NA
10769	8696	10662
10770	7523	8918
10771	7523	8918
10772	10105	8250
10773	10145	10498
10774	6912	9640
10775	6912	9640
10776	8970	8918
10777	9686	9044
10778	9103	9793
1199	NA	NA
10779	9168	9174
10780	6621	9640
10781	9771	8918
10782	6899	10650
10783	8450	10668
10784	8450	7493
10785	6884	10378
10786	8718	9640
10787	7433	10044
10788	10360	8673
1200	NA	NA
10789	7112	8933
10790	8721	8250
10791	8454	8720
10792	8454	8720
10793	8964	10650
10794	9008	8673
10795	7091	9073
10796	8972	10650
10797	8963	8250
10798	8658	NA
1201	NA	NA
10799	9760	10038
10800	6923	10379
10801	7093	10650
10802	9017	9073
10803	8950	10658
10804	7009	9640
10805	7009	9640
10806	8418	8720
10807	5498	10046
10808	6637	8648
1202	NA	NA
10809	6648	8946
10810	8205	8673
10811	8655	8946
10812	7201	8648
10813	8750	10040
10814	10165	9174
10815	7006	8250
10816	10104	8997
10817	8742	9174
10818	9717	NA
1203	NA	NA
10819	8994	10072
10820	9817	9731
10821	10636	9073
10822	7543	8747
10823	9151	NA
10824	9146	10039
10825	7642	10667
10826	10639	8974
10827	7489	8671
10828	7639	9640
1204	NA	NA
10829	9706	NA
10830	9756	10072
10831	9690	8648
10832	10355	8698
10833	9059	8720
10834	7405	10663
10835	8273	8698
10836	8745	8918
10837	NA	NA
10838	6921	9700
1205	NA	NA
10839	6136	8997
10840	NA	NA
10841	NA	NA
10842	10944	10647
10843	6319	9640
10844	10513	9996
10845	10557	10039
10846	10491	8997
10847	10533	9662
10848	10623	10172
1206	NA	NA
10849	10434	9080
10850	10448	9731
10851	10460	10040
10852	10463	9722
10853	10465	10039
10854	10522	9640
10855	10550	10498
10856	10433	9731
10857	10477	NA
10858	10493	9640
190	NA	NA
1207	NA	NA
10859	6785	10650
10860	6785	8918
10861	10441	NA
10862	10157	9697
10863	9181	10037
10864	10206	9731
10865	NA	NA
10866	10562	NA
10867	10262	NA
10868	6828	8918
1208	NA	NA
10869	10169	9080
10870	10461	8918
10871	10457	9640
10872	10534	10669
10873	10029	NA
10874	10151	10216
10875	10139	8720
10876	10261	10650
10877	10264	NA
10878	10151	NA
1209	NA	NA
10879	10455	9700
10880	10487	9171
10881	8728	10669
10882	10529	8673
10883	10209	9044
10884	NA	NA
10885	8704	9697
10886	10218	NA
10887	10202	10040
10888	10134	9044
1210	NA	NA
10889	6916	9697
10890	8732	NA
10891	8732	NA
10892	9147	8997
10893	7521	8648
10894	10264	8933
10895	NA	8250
10896	6612	NA
10897	7067	NA
10898	10635	NA
1211	NA	NA
10899	10350	NA
10900	10350	9640
10901	7521	8648
10902	10500	9100
10903	9734	NA
10904	10029	NA
10905	6916	10040
10906	9758	9697
10907	6921	9700
10908	10462	8997
